title,author,year,link
Socio‐demographic predictors of uptake of a virtual group weight management program during the COVID‐19 pandemic,Sally Abbott,2021,https://pureportal.coventry.ac.uk/en/publications/sociodemographic-predictors-of-uptake-of-a-virtual-group-weight-m
Developing Integrated Clinical Pathways for the Management of Clinically Severe Adult Obesity: a Critique of NHS England Policy,Sally Abbott,2020,https://pureportal.coventry.ac.uk/en/publications/developing-integrated-clinical-pathways-for-the-management-of-cli
Weight loss during medical weight management does not predict weight loss after bariatric surgery: a retrospective cohort study,Sally Abbott,2020,https://pureportal.coventry.ac.uk/en/publications/weight-loss-during-medical-weight-management-does-not-predict-wei
"An Observational Study Comparing Levels Of Protein Intake After Gastric Banding, Sleeve Gastrectomy And Roux-En-Y Gastric Bypass Integrated Health",Sally Abbott,2019,https://pureportal.coventry.ac.uk/en/publications/an-observational-study-comparing-levels-of-protein-intake-after-g
Bariatric surgery among older adults: a matched case-control study on 30-day and 5-year mortality and changes in Body Mass Index and HbA1c up to 5-years post-operatively,Sally Abbott,2019,https://pureportal.coventry.ac.uk/en/publications/bariatric-surgery-among-older-adults-a-matched-case-control-study
The relationship between relative deprivation and access to bariatric surgery,Sally Abbott,2019,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-relative-deprivation-and-access-to-baria
A Systematic Review and Meta-Analysis of the Likelihood of Attaining at >5% Pre-Operative Weight Loss in Group- and Individually-Delivered Interventions.,Sally Abbott,2018,https://pureportal.coventry.ac.uk/en/publications/a-systematic-review-and-meta-analysis-of-the-likelihood-of-attain
Binge eating disorder and night eating syndrome in adults with type 2 diabetes: a systematic review,Sally Abbott,2018,https://pureportal.coventry.ac.uk/en/publications/binge-eating-disorder-and-night-eating-syndrome-in-adults-with-ty
Preoperative weight loss with glucagon-like peptide-1 receptor agonist treatment predicts greater weight loss achieved by the combination of medical weight management and bariatric surgery in patients with type 2 diabetes: A longitudinal analysis,Sally Abbott,2018,https://pureportal.coventry.ac.uk/en/publications/preoperative-weight-loss-with-glucagon-like-peptide-1-receptor-ag
The Effectiveness of Group versus Individual Lifestyle Interventions for Overweight and Obese Adults:  A Systematic Review and Meta-analysis of Randomised Controlled Trials,Sally Abbott,2018,https://pureportal.coventry.ac.uk/en/publications/the-effectiveness-of-group-versus-individual-lifestyle-interventi
The Protector Band: Outcomes Following The Use Of A Re-Engineered Adjustable Gastric Band,Sally Abbott,2018,https://pureportal.coventry.ac.uk/en/publications/the-protector-band-outcomes-following-the-use-of-a-re-engineered-
The use of ketogenic diet in a patient with post-prandial hyperinsulinemic hypoglycaemia after m Roux-en-Y Gastric Bypass surgery: a case study,Sally Abbott,2018,https://pureportal.coventry.ac.uk/en/publications/the-use-of-ketogenic-diet-in-a-patient-with-post-prandial-hyperin
Response to GLP-1 receptor agonist treatment pre-bariatric surgery does not predict post-surgery weight loss in patients with Type 2 diabetes: a retrospective study,Sally Abbott,2017,https://pureportal.coventry.ac.uk/en/publications/response-to-glp-1-receptor-agonist-treatment-pre-bariatric-surger
Short-term weight loss results In Western Europeans versus South Asian patients after laparoscopic adjustable gastric banding: a 1: 2 matched control cohort study,Sally Abbott,2017,https://pureportal.coventry.ac.uk/en/publications/short-term-weight-loss-results-in-western-europeans-versus-south-
The Prevalence and Impact of Trace Mineral Deficiencies following Bariatric Surgery: An Observational Cohort Study,Sally Abbott,2017,https://pureportal.coventry.ac.uk/en/publications/the-prevalence-and-impact-of-trace-mineral-deficiencies-following
Effect of obesity on neutrophil function,Sally Abbott,2016,https://pureportal.coventry.ac.uk/en/publications/effect-of-obesity-on-neutrophil-function
Deep learning identification of coronary artery disease from bilateral finger photoplethysmography sensing: A proof-of-concept study,John Allen,2023,https://pureportal.coventry.ac.uk/en/publications/deep-learning-identification-of-coronary-artery-disease-from-bila
Usability and preliminary efficacy of an AI-driven platform supporting dietary management in diabetes: A mixed-method study,John Allen,2023,https://pureportal.coventry.ac.uk/en/publications/usability-and-preliminary-efficacy-of-an-ai-driven-platform-suppo-2
Assessing hemodynamics from the photoplethysmogram to gain insights into vascular age: a review from VascAgeNet,John Allen,2022,https://pureportal.coventry.ac.uk/en/publications/assessing-hemodynamics-from-the-photoplethysmogram-to-gain-insigh
"Book Pitch article on Photoplethysmography: technology, signal analysis and applications",John Allen,2022,https://pureportal.coventry.ac.uk/en/publications/book-pitch-article-on-photoplethysmography-technology-signal-anal
Ethnic Disparities in Publicly-available Pulse Oximetry Databases,John Allen,2022,https://pureportal.coventry.ac.uk/en/publications/ethnic-disparities-in-publicly-available-pulse-oximetry-databases
Novel pulse device for diagnosis of peripheral arterial disease (NOTEPAD): ISRCTN13301188,John Allen,2022,https://pureportal.coventry.ac.uk/en/publications/novel-pulse-device-for-diagnosis-of-peripheral-arterial-disease-n
Prospective assessment of the diagnostic accuracy of multi-site photoplethysmography pulse measurements for diagnosis of peripheral artery disease in primary care,John Allen,2022,https://pureportal.coventry.ac.uk/en/publications/prospective-assessment-of-the-diagnostic-accuracy-of-multi-site-p
Usability and preliminary efficacy of an AI-driven platform supporting dietary management in diabetes: A mixed-method study,John Allen,2022,https://pureportal.coventry.ac.uk/en/publications/usability-and-preliminary-efficacy-of-an-ai-driven-platform-suppo
Validation of a Standardised Duplex Ultrasound Classification System for the Reporting and Grading of Peripheral Arterial Disease,John Allen,2022,https://pureportal.coventry.ac.uk/en/publications/validation-of-a-standardised-duplex-ultrasound-classification-sys
Deep learning based photoplethysmography classification for peripheral arterial disease detection: a proof-of-concept study,John Allen,2021,https://pureportal.coventry.ac.uk/en/publications/deep-learning-based-photoplethysmography-classification-for-perip
Explorations in skin temperature and objective skin colour measurements in Raynaud's phenomenon: A pilot study,John Allen,2021,https://pureportal.coventry.ac.uk/en/publications/explorations-in-skin-temperature-and-objective-skin-colour-measur
Filtering-induced time shifts in photoplethysmography pulse features measured at different body sites: the importance of filter definition and standardization,John Allen,2021,https://pureportal.coventry.ac.uk/en/publications/filtering-induced-time-shifts-in-photoplethysmography-pulse-featu
Low frequency variability in photoplethysmography and autonomic function assessment,John Allen,2021,https://pureportal.coventry.ac.uk/en/publications/low-frequency-variability-in-photoplethysmography-and-autonomic-f
"Photoplethysmography: Technology, Signal Analysis and Applications",John Allen,2021,https://pureportal.coventry.ac.uk/en/publications/photoplethysmography-technology-signal-analysis-and-applications
Photoplethysmography (PPG): State-of-the-art methods and applications,John Allen,2021,https://pureportal.coventry.ac.uk/en/publications/photoplethysmography-ppg-state-of-the-art-methods-and-application
Photoplethysmography for the assessment of peripheral vascular disease,John Allen,2021,https://pureportal.coventry.ac.uk/en/publications/photoplethysmography-for-the-assessment-of-peripheral-vascular-di
Photoplethysmography signal processing and synthesis,John Allen,2021,https://pureportal.coventry.ac.uk/en/publications/photoplethysmography-signal-processing-and-synthesis
Reliability of the Edinburgh Claudication Questionnaire for identifying symptomatic PAD in General Practice,John Allen,2021,https://pureportal.coventry.ac.uk/en/publications/reliability-of-the-edinburgh-claudication-questionnaire-for-ident
The power of light in medicine - challenges and opportunities in vascular optics,John Allen,2021,https://pureportal.coventry.ac.uk/en/publications/the-power-of-light-in-medicine-challenges-and-opportunities-in-va
The striking need for age diverse pulse oximeter databases,John Allen,2021,https://pureportal.coventry.ac.uk/en/publications/the-striking-need-for-age-diverse-pulse-oximeter-databases
Accuracy of Peripheral Arterial Disease Registers in UK General Practice:  Case-Control Study,John Allen,2020,https://pureportal.coventry.ac.uk/en/publications/accuracy-of-peripheral-arterial-disease-registers-in-uk-general-p
Advancing PPG signal quality and know-how through knowledge translation - from experts to student and researcher,John Allen,2020,https://pureportal.coventry.ac.uk/en/publications/advancing-ppg-signal-quality-and-know-how-through-knowledge-trans
Age-related changes in pulse risetime measured by multi-site photoplethysmography,John Allen,2020,https://pureportal.coventry.ac.uk/en/publications/age-related-changes-in-pulse-risetime-measured-by-multi-site-phot
Assessment of Hypertension Using Clinical Electrocardiogram Features: A First-Ever Review,John Allen,2020,https://pureportal.coventry.ac.uk/en/publications/assessment-of-hypertension-using-clinical-electrocardiogram-featu
Cuffless Single-Site Photoplethysmography for Blood Pressure Monitoring,John Allen,2020,https://pureportal.coventry.ac.uk/en/publications/cuffless-single-site-photoplethysmography-for-blood-pressure-moni
Infrared thermography and ulcer prevention in the high-risk diabetic foot: data from a single-blind multicentre controlled clinical trial,John Allen,2020,https://pureportal.coventry.ac.uk/en/publications/infrared-thermography-and-ulcer-prevention-in-the-high-risk-diabe
Multimodal Photoplethysmography-Based Approaches for Improved Detection of Hypertension,John Allen,2020,https://pureportal.coventry.ac.uk/en/publications/multimodal-photoplethysmography-based-approaches-for-improved-det
PPGSynth: An innovative toolbox for synthesizing regular and irregular photoplethysmography waveforms,John Allen,2020,https://pureportal.coventry.ac.uk/en/publications/ppgsynth-an-innovative-toolbox-for-synthesizing-regular-and-irreg
Between visit variability of thermal imaging of feet in people attending podiatric clinics with diabetic neuropathy at high risk of developing foot ulcers,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/between-visit-variability-of-thermal-imaging-of-feet-in-people-at
Focus collection on thermal imaging in medicine,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/focus-collection-on-thermal-imaging-in-medicine
Multi-Site Photoplethysmography Technology for Blood Pressure Assessment: Challenges and Recommendations,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/multi-site-photoplethysmography-technology-for-blood-pressure-ass
Nailfold capillaroscopy - How many fingers should be examined to detect abnormality?,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/nailfold-capillaroscopy-how-many-fingers-should-be-examined-to-de
Negotiating commissioning pathways for the successful implementation of innovative health technology in primary care,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/negotiating-commissioning-pathways-for-the-successful-implementat
Nurses’ and patients’ experiences and preferences of the ankle-brachial pressure index and multi-site photoplethysmography for the diagnosis of peripheral arterial disease:  A qualitative study,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/nurses-and-patients-experiences-and-preferences-of-the-ankle-brac
Peripheral arterial disease diagnosis and management in primary care: A qualitative study,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/peripheral-arterial-disease-diagnosis-and-management-in-primary-c
Quantifying the delays between multi-site photoplethysmography pulse and electrocardiogram r-r interval changes under slow-paced breathing,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/quantifying-the-delays-between-multi-site-photoplethysmography-pu
Recent development of respiratory rate measurement technologies,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/recent-development-of-respiratory-rate-measurement-technologies
Sensor Housing and Associated Disposable Element,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/sensor-housing-and-associated-disposable-element
Simple photoplethysmography pulse encoding technique for communicating the detection of peripheral arterial disease - A proof of concept study,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/simple-photoplethysmography-pulse-encoding-technique-for-communic
Tissue oxygen saturation assessment of microvascular perfusion in adults with Fontan palliation and comparator groups using vascular optical spectrophotometry: A pilot study,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/tissue-oxygen-saturation-assessment-of-microvascular-perfusion-in
Using a Discrete-Choice Experiment to Estimate the Preferences of Clinical Practitioners for a Novel Non-invasive Device for Diagnosis of Peripheral Arterial Disease in Primary Care,John Allen,2019,https://pureportal.coventry.ac.uk/en/publications/using-a-discrete-choice-experiment-to-estimate-the-preferences-of
A Multicenter Study of the Validity and Reliability of Responses to Hand Cold Challenge as Measured by Laser Speckle Contrast Imaging and Thermography: Outcome Measures for Systemic Sclerosis Related Raynaud's Phenomenon,John Allen,2018,https://pureportal.coventry.ac.uk/en/publications/a-multicenter-study-of-the-validity-and-reliability-of-responses-
Innovative Multi-Site Photoplethysmography Analysis for Quantifying Pulse Amplitude and Timing Variability Characteristics in Peripheral Arterial Disease,John Allen,2018,https://pureportal.coventry.ac.uk/en/publications/innovative-multi-site-photoplethysmography-analysis-for-quantifyi
Innovative multi-site photoplethysmography measurement and analysis demonstrating increased arterial stiffness in paediatric heart transplant recipients,John Allen,2018,https://pureportal.coventry.ac.uk/en/publications/innovative-multi-site-photoplethysmography-measurement-and-analys
Novel optical assessments of tissue composition and viability using fluorescence spectroscopy and tissue oxygenation spectrophotometry in patients with systemic sclerosis: A pilot study,John Allen,2018,https://pureportal.coventry.ac.uk/en/publications/novel-optical-assessments-of-tissue-composition-and-viability-usi
"Novel Signal Noise Reduction Method through Cluster Analysis, Applied to Photoplethysmography",John Allen,2018,https://pureportal.coventry.ac.uk/en/publications/novel-signal-noise-reduction-method-through-cluster-analysis-appl
Reliability of a novel thermal imaging system for temperature assessment of healthy feet,John Allen,2018,https://pureportal.coventry.ac.uk/en/publications/reliability-of-a-novel-thermal-imaging-system-for-temperature-ass
Systematic Review of Economic Models Used to Compare Techniques for Detecting Peripheral Arterial Disease,John Allen,2018,https://pureportal.coventry.ac.uk/en/publications/systematic-review-of-economic-models-used-to-compare-techniques-f
The assessment of nailfold capillaries: Comparison of dermoscopy and nailfold videocapillaroscopy,John Allen,2018,https://pureportal.coventry.ac.uk/en/publications/the-assessment-of-nailfold-capillaries-comparison-of-dermoscopy-a
A medical thermal imaging device for the prevention of diabetic foot ulceration,John Allen,2017,https://pureportal.coventry.ac.uk/en/publications/a-medical-thermal-imaging-device-for-the-prevention-of-diabetic-f
Active HHV-6 Infection of Cerebellar Purkinje Cells in Mood Disorders,Richard Aspinall,2018,https://pureportal.coventry.ac.uk/en/publications/active-hhv-6-infection-of-cerebellar-purkinje-cells-in-mood-disor
Interventions to restore appropriate immune function in the elderly,Richard Aspinall,2018,https://pureportal.coventry.ac.uk/en/publications/interventions-to-restore-appropriate-immune-function-in-the-elder
Perturbation of the T cell receptor repertoire occurs with increasing age in dogs,Richard Aspinall,2018,https://pureportal.coventry.ac.uk/en/publications/perturbation-of-the-t-cell-receptor-repertoire-occurs-with-increa
Polymorphisms in the canine IL7R 3′UTR are associated with thymic output in Labrador retriever dogs and influence post-transcriptional regulation by microRNA 185,Richard Aspinall,2018,https://pureportal.coventry.ac.uk/en/publications/polymorphisms-in-the-canine-il7r-3utr-are-associated-with-thymic-
The Burden of Chikungunya Virus Infection: The Need for Systematic and Geriatric-Specific Epidemiological Monitoring,Richard Aspinall,2018,https://pureportal.coventry.ac.uk/en/publications/the-burden-of-chikungunya-virus-infection-the-need-for-systematic
"Vaccination choices for older people, looking beyond age specific approaches",Richard Aspinall,2018,https://pureportal.coventry.ac.uk/en/publications/vaccination-choices-for-older-people-looking-beyond-age-specific-
A qualitative analysis of the effectiveness of telehealthcare devices (i) are they meeting the needs of end-users?,Richard Aspinall,2017,https://pureportal.coventry.ac.uk/en/publications/a-qualitative-analysis-of-the-effectiveness-of-telehealthcare-dev-2
A qualitative analysis of the effectiveness of telehealthcare devices (II) barriers to uptake of telehealthcare devices,Richard Aspinall,2017,https://pureportal.coventry.ac.uk/en/publications/a-qualitative-analysis-of-the-effectiveness-of-telehealthcare-dev
Chikungunya Virus Infection: Why Should U.S. Geriatricians Be Aware of It?,Richard Aspinall,2017,https://pureportal.coventry.ac.uk/en/publications/chikungunya-virus-infection-why-should-us-geriatricians-be-aware-
Vitamin D Status and the Host Resistance to Infections: What It Is Currently (Not) Understood,Richard Aspinall,2017,https://pureportal.coventry.ac.uk/en/publications/vitamin-d-status-and-the-host-resistance-to-infections-what-it-is
An age-associated decline in thymic output differs in dog breeds according to their longevity,Richard Aspinall,2016,https://pureportal.coventry.ac.uk/en/publications/an-age-associated-decline-in-thymic-output-differs-in-dog-breeds-
Zinc supplementation induces regulatory T cells by inhibition of Sirt-1 deacetylase in mixed lymphocyte cultures,Richard Aspinall,2016,https://pureportal.coventry.ac.uk/en/publications/zinc-supplementation-induces-regulatory-t-cells-by-inhibition-of-
Can we translate vitamin D immunomodulating effect on innate and adaptive immunity to vaccine response?,Richard Aspinall,2015,https://pureportal.coventry.ac.uk/en/publications/can-we-translate-vitamin-d-immunomodulating-effect-on-innate-and-
MARK-AGE biomarkers of ageing,Richard Aspinall,2015,https://pureportal.coventry.ac.uk/en/publications/mark-age-biomarkers-of-ageing
Cellular signalling pathways in immune aging and regeneration,Richard Aspinall,2014,https://pureportal.coventry.ac.uk/en/publications/cellular-signalling-pathways-in-immune-aging-and-regeneration
Protection versus pathology in aviremic and high viral load HIV-2 infection - The pivotal role of immune activation and T-cell kinetics,Richard Aspinall,2014,https://pureportal.coventry.ac.uk/en/publications/protection-versus-pathology-in-aviremic-and-high-viral-load-hiv-2
Vaccination in the elderly: What can be recommended?,Richard Aspinall,2014,https://pureportal.coventry.ac.uk/en/publications/vaccination-in-the-elderly-what-can-be-recommended
Vaccine responsiveness in the elderly: Best practice for the clinic,Richard Aspinall,2014,https://pureportal.coventry.ac.uk/en/publications/vaccine-responsiveness-in-the-elderly-best-practice-for-the-clini
A respiratory monitoring device based on clavicular motion,Richard Aspinall,2013,https://pureportal.coventry.ac.uk/en/publications/a-respiratory-monitoring-device-based-on-clavicular-motion
A Simple Model System Enabling Human CD34+Cells to Undertake Differentiation Towards T Cells,Richard Aspinall,2013,https://pureportal.coventry.ac.uk/en/publications/a-simple-model-system-enabling-human-cd34supsup-cells-to-undertak
Dose response kinetics of CD8 lymphocytes from young animals transfused into old animals and challenged with influenza,Richard Aspinall,2013,https://pureportal.coventry.ac.uk/en/publications/dose-response-kinetics-of-cd8-lymphocytes-from-young-animals-tran
How important is vitamin D in preventing infections?,Richard Aspinall,2013,https://pureportal.coventry.ac.uk/en/publications/how-important-is-vitamin-d-in-preventing-infections
Immune Senescence and Vaccination in the Elderly,Richard Aspinall,2013,https://pureportal.coventry.ac.uk/en/publications/immune-senescence-and-vaccination-in-the-elderly
Measuring the TREC ratio in dried blood spot samples: Intra- and inter-filter paper cards reproducibility,Richard Aspinall,2013,https://pureportal.coventry.ac.uk/en/publications/measuring-the-trec-ratio-in-dried-blood-spot-samples-intra-and-in
"Reversing T cell immunosenescence: Why, who, and how",Richard Aspinall,2013,https://pureportal.coventry.ac.uk/en/publications/reversing-t-cell-immunosenescence-why-who-and-how
Saurons-nous jamais ce qui provoque le vieillissement?,Richard Aspinall,2013,https://pureportal.coventry.ac.uk/en/publications/saurons-nous-jamais-ce-qui-provoque-le-vieillissement
The avalanche is coming... and just now it's starting to snow,Richard Aspinall,2013,https://pureportal.coventry.ac.uk/en/publications/the-avalanche-is-coming-and-just-now-its-starting-to-snow
Comparison of manual and automated DNA purification for measuring TREC in dried blood spot (DBS) samples with qPCR,Richard Aspinall,2012,https://pureportal.coventry.ac.uk/en/publications/comparison-of-manual-and-automated-dna-purification-for-measuring
Effectiveness of influenza vaccine in aging and older adults: Comprehensive analysis of the evidence,Richard Aspinall,2012,https://pureportal.coventry.ac.uk/en/publications/effectiveness-of-influenza-vaccine-in-aging-and-older-adults-comp
Efficacité des vaccins antigrippes chez la personne âgée,Richard Aspinall,2012,https://pureportal.coventry.ac.uk/en/publications/efficacit%C3%A9-des-vaccins-antigrippes-chez-la-personne-%C3%A2g%C3%A9e
Immunosenescence and herd immunity: With an ever-increasing aging population do we need to rethink vaccine schedules?,Richard Aspinall,2012,https://pureportal.coventry.ac.uk/en/publications/immunosenescence-and-herd-immunity-with-an-ever-increasing-aging-
"Immunosenescence and the 3Rs: Restoration, replacement and reprogramming immunosenescence and its correction",Richard Aspinall,2012,https://pureportal.coventry.ac.uk/en/publications/immunosenescence-and-the-3rs-restoration-replacement-and-reprogra
"Immunotherapy of immunosenesence; who, how and when?",Richard Aspinall,2012,https://pureportal.coventry.ac.uk/en/publications/immunotherapy-of-immunosenesence-who-how-and-when
L'immunosénescence,Richard Aspinall,2012,https://pureportal.coventry.ac.uk/en/publications/limmunos%C3%A9nescence
Immunosenescence: Implications for vaccination programmes in adults,Richard Aspinall,2011,https://pureportal.coventry.ac.uk/en/publications/immunosenescence-implications-for-vaccination-programmes-in-adult
Interleukin 7 from maternal milk crosses the intestinal barrier and modulates T-cell development in offspring,Richard Aspinall,2011,https://pureportal.coventry.ac.uk/en/publications/interleukin-7-from-maternal-milk-crosses-the-intestinal-barrier-a
Real time-PCR assay estimating the naive T-cell pool in whole blood and dried blood spot samples: Pilot study in young adults,Richard Aspinall,2011,https://pureportal.coventry.ac.uk/en/publications/real-time-pcr-assay-estimating-the-naive-t-cell-pool-in-whole-blo
Thymic function and T cell parameters in a natural human experimental model of seasonal infectious diseases and nutritional burden,Richard Aspinall,2011,https://pureportal.coventry.ac.uk/en/publications/thymic-function-and-t-cell-parameters-in-a-natural-human-experime
Vaccine effectiveness in older individuals: What has been learned from the influenza-vaccine experience,Richard Aspinall,2011,https://pureportal.coventry.ac.uk/en/publications/vaccine-effectiveness-in-older-individuals-what-has-been-learned-
Immune senescence,Richard Aspinall,2010,https://pureportal.coventry.ac.uk/en/publications/immune-senescence
Immunity in the Elderly: The Role of the Thymus,Richard Aspinall,2010,https://pureportal.coventry.ac.uk/en/publications/immunity-in-the-elderly-the-role-of-the-thymus
Immunological pathogenesis of main age-related diseases and frailty: Role of immunosenescence,Richard Aspinall,2010,https://pureportal.coventry.ac.uk/en/publications/immunological-pathogenesis-of-main-age-related-diseases-and-frail
Influenza vaccine effectiveness in aged individuals: The role played by cell-mediated immunity,Richard Aspinall,2010,https://pureportal.coventry.ac.uk/en/publications/influenza-vaccine-effectiveness-in-aged-individuals-the-role-play
Tracing thymic output in older individuals,Richard Aspinall,2010,https://pureportal.coventry.ac.uk/en/publications/tracing-thymic-output-in-older-individuals
B-cell responses to vaccination at the extremes of age,Richard Aspinall,2009,https://pureportal.coventry.ac.uk/en/publications/b-cell-responses-to-vaccination-at-the-extremes-of-age
Influenza control in the 21st century: Optimizing protection of older adults,Richard Aspinall,2009,https://pureportal.coventry.ac.uk/en/publications/influenza-control-in-the-21st-century-optimizing-protection-of-ol
Interleukin-7 and immunorejuvenation,Richard Aspinall,2009,https://pureportal.coventry.ac.uk/en/publications/interleukin-7-and-immunorejuvenation
"Reversal of age-associated thymic atrophy: Treatments, delivery, and side effects",Richard Aspinall,2008,https://pureportal.coventry.ac.uk/en/publications/reversal-of-age-associated-thymic-atrophy-treatments-delivery-and
"Zinc, metallothioneins, longevity: Effect of zinc supplementation on antioxidant response: A zincage study",Richard Aspinall,2008,https://pureportal.coventry.ac.uk/en/publications/zinc-metallothioneins-longevity-effect-of-zinc-supplementation-on
Challenges for vaccination in the elderly,Richard Aspinall,2007,https://pureportal.coventry.ac.uk/en/publications/challenges-for-vaccination-in-the-elderly
A button that tells your boss you’re unhappy: why mental health wearables could be bad news at work,Natalie Louise Bisal,2021,https://pureportal.coventry.ac.uk/en/publications/a-button-that-tells-your-boss-youre-unhappy-why-mental-health-wea
A randomised controlled trial of the 5:2 diet,Natalie Louise Bisal,2021,https://pureportal.coventry.ac.uk/en/publications/a-randomised-controlled-trial-of-the-52-diet
On the Level Mental Health Intervention - a school-based feasibility study,Natalie Louise Bisal,2021,https://pureportal.coventry.ac.uk/en/publications/on-the-level-mental-health-intervention-a-school-based-feasibilit
Cost‐effectiveness of e‐cigarettes compared with nicotine replacement therapy in stop smoking services in England (TEC study): a randomized controlled trial,Natalie Louise Bisal,2020,https://pureportal.coventry.ac.uk/en/publications/costeffectiveness-of-ecigarettes-compared-with-nicotine-replaceme
A randomized trial of E-cigarettes versus nicotine-replacement therapy,Natalie Louise Bisal,2019,https://pureportal.coventry.ac.uk/en/publications/a-randomized-trial-of-e-cigarettes-versus-nicotine-replacement-th
E-cigarettes compared with nicotine replacement therapy within the UK Stop Smoking Services: the TEC RCT,Natalie Louise Bisal,2019,https://pureportal.coventry.ac.uk/en/publications/e-cigarettes-compared-with-nicotine-replacement-therapy-within-th
A Serious Game for Patients With Eating Disorders (Maze Out): Pilot User Experience and Acceptance Study,Kim Bul,2023,https://pureportal.coventry.ac.uk/en/publications/a-serious-game-for-patients-with-eating-disorders-maze-out-pilot-
Can eHealth applications improve renal transplant outcomes for adolescents and young adults?  A systematic review,Kim Bul,2023,https://pureportal.coventry.ac.uk/en/publications/can-ehealth-applications-improve-renal-transplant-outcomes-for-ad
Perceived Support from Best Friends and Depressive Symptoms During Adolescence: Disentangling Personal from Dyadic Level Effects:  Disentangling Individual from Dyadic Level Effects,Kim Bul,2023,https://pureportal.coventry.ac.uk/en/publications/perceived-support-from-best-friends-and-depressive-symptoms-durin
The moderating role of Co-rumination on the Association between Friend Support and Adolescent emotional Distress,Kim Bul,2023,https://pureportal.coventry.ac.uk/en/publications/the-moderating-role-of-co-rumination-on-the-association-between-f
The role of anxiety and depression in suicidal thoughts for autistic and non‐autistic people: A theory‐driven network analysis,Kim Bul,2023,https://pureportal.coventry.ac.uk/en/publications/the-role-of-anxiety-and-depression-in-suicidal-thoughts-for-autis
Usability and preliminary efficacy of an AI-driven platform supporting dietary management in diabetes: A mixed-method study,Kim Bul,2023,https://pureportal.coventry.ac.uk/en/publications/usability-and-preliminary-efficacy-of-an-ai-driven-platform-suppo-2
Usability and preliminary efficacy of an AI-driven platform supporting dietary management in diabetes: A mixed-method study,Kim Bul,2022,https://pureportal.coventry.ac.uk/en/publications/usability-and-preliminary-efficacy-of-an-ai-driven-platform-suppo
Naar de middelbare school als je ASS hebt,Kim Bul,2021,https://pureportal.coventry.ac.uk/en/publications/naar-de-middelbare-school-als-je-ass-hebt
